Process_energyconsumption,1Process_energyconsumption,2Process_energyconsumption,Gas_consumption,Molteniron_production,TRTpower_generation,Gas_production,Coalinjection_consumption,Coke_consumption,Amount_of_blast,1BTwind_temperature,2BTwind_temperature,1Coal_ratio,2Coal_ratio,1Coke_ratio,2Coke_ratio,1CO2_contentofgas,2CO2_contentofgas,1TRTGenerationrate,2TRTGenerationrate,Hotmetal_ratio
348.81,347.77,347.77,0,22889,127.3014,3790.1295,3685,7040,200.4786,0,0,0,0,0,0,0,0,47.03,47.03,0
348.41,346.61,346.61,0,23744,124.1021,3836.499,3846,7204,202.4239,0,0,0,0,0,0,0,0,44.07,44.07,0
348.73,346.15,346.15,0,24025,121.9706,3830.514,3995,7185,202.5856,0,0,0,0,0,0,0,0,43,43,0
340.15,336.94,336.94,0,23823,119.9542,3799.962,3927,6928,201.7624,0,0,0,0,0,0,0,0,42.76,42.76,0
323.01,319.86,319.86,0,24062,118.5178,3831.369,4017,6513,202.5415,0,0,0,0,0,0,0,0,40.29,40.29,0
317.4,315.33,315.33,0,24201,121.1564,3843.0255,4066,6398,203.1344,0,0,0,0,0,0,0,0,41.8,41.8,0
332.92,332.78,332.78,0,23577,120.6916,3793.293,4053,6538,201.9535,0,0,0,0,0,0,0,0,42.77,42.77,0
336.85,335.93,335.93,0,24245,114.1587,3866.8515,4337,6672,204.8151,0,0,0,0,0,0,0,0,35.66,35.66,0
344.14,346.09,346.09,0,24004,108.4861,3865.7685,4234,6846,204.8102,0,0,0,0,0,0,0,0,32.47,32.47,0
350.26,348.01,348.01,0,24018,99.4453,3858.4155,4319,6919,204.5603,0,0,0,0,0,0,0,0,26.15,26.15,0
350.23,347.95,347.95,0,23793,89.7055,3854.3685,4284,6866,204.4868,0,0,0,0,0,0,0,0,19.74,19.74,0
353.64,355.46,355.46,0,23516,86.2336,3825.9255,4259,6839,203.4333,0,0,0,0,0,0,0,0,18.44,18.44,0
351.61,349.62,349.62,0,23656,89.4443,3811.5045,4276,6820,202.9286,0,0,0,0,0,0,0,0,20.9,20.9,0
350.79,349,349,0,23251,87.0785,3798.2805,4189,6721,201.9486,0,0,0,0,0,0,0,0,19.63,19.63,0
352.35,352.64,352.64,0,23314,88.15,3833.421,4256,6751,203.2618,0,0,0,0,0,0,0,0,19.48,19.48,0
348.61,344.65,344.65,0,23350,84.0713,3840.3465,4091,6821,203.7077,0,0,0,0,0,0,0,0,16.93,16.93,0
348.49,344.71,344.71,0,23772,81.7976,3855.6795,4167,6907,203.9478,0,0,0,0,0,0,0,0,14.57,14.57,0
344.36,342.23,342.23,0,23354,84.6435,3826.3815,3985,6813,202.4141,0,0,0,0,0,0,0,0,17.67,17.67,0
343.85,342.36,342.36,0,23419,79.812,3850.8915,3951,6855,203.6097,0,0,0,0,0,0,0,0,14.27,14.27,0
344.76,344.17,344.17,0,23511,79.0669,3819.741,3965,6875,202.2426,0,0,0,0,0,0,0,0,13.71,13.71,0
